,NOM_ENT,DISTRITO,VPH_CEL,VPH_EXCSA,PSINDER,HOGJEF_F,P15YM_ANSEIN,CIRCUNSCRIPCIONES
192,Nuevo León,3,94.75170414,99.47926946,21.51203749,25.40117506,7.41815941,2
193,Nuevo León,4,92.43453436,99.86874057,15.46753524,30.15439391,5.976911008,2
194,Nuevo León,5,89.67297104,99.27865008,26.55745928,30.9122655,13.21619589,2
195,Nuevo León,6,91.96113486,99.41235911,16.18148085,32.37621454,6.158287573,2
196,Nuevo León,7,94.51821614,99.06847638,19.7229677,24.26778243,7.560084533,2
197,Nuevo León,8,94.64138022,99.84202865,18.20649361,24.74277963,6.256258068,2
198,Nuevo León,9,86.81733044,85.05931257,13.00813405,26.5173173,20.2326794,2
199,Oaxaca,1,75.63608676,84.5490061,27.70053697,31.60990909,36.26771243,3
200,Oaxaca,10,71.18094547,66.53129459,31.77918695,27.57622067,42.98629182,3
201,Oaxaca,2,58.50423313,63.91559681,25.02283857,29.13262565,47.45931361,3
202,Oaxaca,3,78.32533761,77.94803066,34.90275246,32.01816537,23.30984647,3
203,Oaxaca,4,73.67880714,77.63464516,33.8416531,29.0336511,36.34890403,3
204,Oaxaca,5,70.17232945,85.30815311,22.98326931,29.06894101,36.85266249,3
205,Oaxaca,6,55.03934241,59.26840697,24.22865612,28.92301384,49.79289415,3
206,Oaxaca,7,74.03791267,92.09116081,30.30828793,30.43833866,39.31145666,3
207,Oaxaca,8,92.91431408,95.11784363,36.46727287,38.78513371,11.16586193,3
208,Oaxaca,9,69.32400373,79.88442615,25.15157452,30.38059984,46.38156135,3
209,Puebla,1,73.2781979,86.52675107,24.26944784,32.2816061,40.01341877,4
210,Puebla,10,91.92729509,98.02521439,30.86739997,31.96282757,9.181567139,4
211,Puebla,11,93.32448335,97.59471871,30.84641825,33.79377153,11.10414469,4
212,Puebla,12,92.7285668,99.56935385,27.65554111,40.36451764,6.138881474,4
213,Puebla,13,82.48728828,94.1618682,28.83262733,32.19517123,27.35855928,4
214,Puebla,14,73.40290285,89.92478017,28.48985579,28.90136667,34.67295776,4
215,Puebla,15,88.02342631,90.90568097,34.16163263,35.8069631,24.16684978,4
216,Puebla,2,74.69661327,79.77950786,21.72358029,28.03853478,44.42208985,4
217,Puebla,3,83.27414004,86.20465854,27.68511859,32.04279945,29.67509049,4
218,Puebla,4,72.45794921,74.28031263,24.90112209,27.65996843,47.54173656,4
219,Puebla,5,85.93434671,97.18853567,38.20605892,28.93206939,16.25991818,4
220,Puebla,6,90.56474388,98.60505824,29.11208594,33.08700791,12.72690713,4
221,Puebla,7,84.89842816,92.74933358,36.31100117,27.41152679,23.70523116,4
222,Puebla,8,78.15576274,82.99968956,24.08713673,25.38329812,36.85724107,4
223,Puebla,9,92.07874447,99.2475293,27.70901801,36.01084547,8.751496401,4
224,Querétaro,1,76.37331032,86.43614079,18.32177021,31.23050375,26.39594314,2
225,Querétaro,2,90.30478494,97.38730548,23.6160224,31.21463815,13.88679516,2
226,Querétaro,3,94.81037695,98.62813643,18.64501168,32.46015501,8.210267151,2
227,Querétaro,4,94.26001872,98.97435117,20.86084219,37.21248735,7.369311444,2
228,Querétaro,5,92.09979992,96.62943195,21.47056088,31.65536663,13.33790788,2
229,Quintana Roo,1,91.04857192,96.21154548,27.70466125,33.10634122,11.15307943,3
230,Quintana Roo,2,83.77568681,93.502192,19.24668241,31.25554589,22.40530957,3
231,Quintana Roo,3,94.21367779,99.27694509,26.31530761,32.46685998,11.97576192,3
232,Quintana Roo,4,94.84169335,98.31525404,26.4039542,32.85812135,8.499938337,3
233,San Luis Potosí,1,80.36048219,80.30976957,18.41841099,28.2067807,26.20555677,2
234,San Luis Potosí,2,88.62062871,94.66877723,16.80396062,29.99177802,14.78764392,2
